1952年1月2日，志愿军烈士（    ）在朝鲜平安南道成川郡石田里，为抢救跌入冰窟的朝鲜少年崔莹而牺牲。图为这位烈士的照片。【出题：武汉大学】,['罗盛教  ']
标志着中国共产党在政治上开始走向成熟的会议是（    ）。【出题：武汉大学】,['遵义会议\t']
中国历史上第一个全国性的工农民主政权是（    ）。【出题：武汉大学】,['中华苏维埃共和国']
"""三大改造”中，农业、手工业的改造形式主要是（    ）。【出题：武汉大学】",['建立生产合作社']
为正确处理民族关系，党制定和实施了（    ）。【出题：武汉大学】,['各民族共同发展繁荣政策']
1956年6月7日，在上海举行的中苏举重友谊赛中，（    ）以133公斤的成绩打破了56公斤挺举世界纪录。【出题：武汉大学】,['陈镜开']
（  ），是习近平新时代中国特色社会主义思想的核心要义。,['坚持和发展中国特色社会主义']
党的八大提出，社会主义改造基本完成后，全国人民的主要任务是（    ）。,['集中力量发展社会生产力，实现国家工业化，逐步满足人民日益增长的物质和文化需要']
习近平在2016年10月27日关于“全面落实党内监督责任”的讲话中，表示（  ）在党和国家各种监督形式中是最根本的、第一位的。,['党内监督']
个别企业的公私合营是半社会主义性质的企业，社会主义经济与资本主义经济在企业内部联系与合作，利润分配仍实行“（    ）”的原则，但资本主义只能按私股所占比例取得红利的一部分，另一部分红利转为国家所有。【出题：武汉大学】,['四马分肥']
（  ）是中国特色社会主义的根本任务。,['解放和发展生产力']
党的十九大报告指出，要确保到（  ）年我国现行标准下农村贫困人口实现脱贫，贫困县全部摘帽，解决区域性整体贫困，做到脱真贫、真脱贫。,['2020']
1949年9月21日，（    ）第一届全体会议在北平隆重开幕。毛泽东在开幕词中庄严宣告：“占人类总数四分之一的中国人从此站立起来了。”【出题：武汉大学】,['中国人民政治协商会议']
海南岛获得解放是在（    ）年。【出题：武汉大学】,['1950']
党的十八大报告指出，（  ）关乎党的命脉，关乎国家前途，民族命运和人民幸福。,['道路']
1959年9月，在东北松辽盆地发现了世界级的特大砂岩油田。在中央石油大会战的决定下，几万名石油职工和退伍军人艰苦奋战，在三年多的时间里，建立起了我国最大的石油基地（    ）。【出题：武汉大学】,['大庆油田']
